Owner,Project,Title,Stars,TF-IDFs,Size,Datetime,Arrow,Pendulum,Description,Category 1,Category 2,Affected Computation 1,Affected Computation 2,Affected Computation 3,Obscurity,Impact/Severity,# LOC,Logic Needed,Comments,BPST1,BPST2,BPST3
facetoe,zenpy,IncrementalEndpoint start_time arg for timezone aware datetime,333.0,0.7040864024,5715.0,1.0,0.0,0.0,,Timezone,Timestamps,Timezone Conversions,Timestamp/Hash Construction,,2.0,2.0,2.0,2.0,,Using Naïve Datetime Incorrectly,,
PrefectHQ,prefect,Prefect datetimes need to be timezone-aware (especially schedules),15193.0,0.6930265641,1415.0,1.0,0.0,1.0,,Timezone,,Datetime Construction,Datetime Comparison,,1.0,2.0,4.0,3.0,,Using Naïve Datetime Incorrectly,Adding Support for New Libraries,Dropping Timezones
python-telegram-bot,python-telegram-bot,job_queue.run_daily fails for timezone aware datetime.datetime objects,25168.0,0.6903573489,1618.0,1.0,0.0,0.0,,Timezone,,Timezone Conversions,,,2.0,1.0,1.0,1.0,,Using Naïve Datetime Incorrectly,,
sdispater,pendulum,"Extra second prior to Dec 13, 1901",6109.0,0.6896613204,1045.0,1.0,0.0,1.0,,Timestamps,,Replacing/Rounding Datetime Components,Datetime Construction,,3.0,1.0,1.0,2.0,,OOB Timestamps,Precision of Representation,Library Bug
sdispater,pendulum,"parse 'Z' timezone designator in iso8601 strings as Timezone('UTC'), not Timezone('+00:00')",6109.0,0.6874170625,1438.0,1.0,0.0,1.0,,String Representation,Timezone,String Parsing/Formatting (data),Datetime Construction,,2.0,1.0,3.0,1.0,pendulum is parsing the string incorrectly to Timezone('+00:00') instead of Timezone('UTC'),Comparing Timezones,,
scrapinghub,dateparser,Unable to parse UTC / GMT >= 10,2480.0,0.6843178725,1375.0,1.0,0.0,0.0,,String Representation,,String Parsing/Formatting (data),,,1.0,2.0,2.0,2.0,,Incorrect Format Assumptions,,
aimhubio,aim,Store and retrieve all datetime objects and timestamps as UTC tz-aware times,4892.0,0.6835294552,1745.0,1.0,0.0,0.0,,Timezone,Timestamps,Datetime Construction,Timestamp/Hash Construction,,2.0,2.0,1.0,1.0,changing from naive to tz aware (utc) objects,Using Naïve Datetime Incorrectly,,
RhetTbull,osxmetadata,bug: timezone not handled properly,110.0,0.6601730813,7645.0,1.0,0.0,0.0,,Timezone,,Datetime Construction,Timezone Conversions,,2.0,2.0,4.0,3.0,,Using Naïve Datetime Incorrectly,,
skarim,vobject,Serializing iCalendar throws NonExistentTimeError when using pytz timezones,249.0,0.6583571373,3084.0,1.0,0.0,0.0,,Timezone,String Representation,String Parsing/Formatting (data),,,2.0,2.0,3.0,2.0,,Adding Support for New Libraries,,
googlemaps,google-maps-services-python,Timezones are ignored when converting datetimes,4396.0,0.6535934088,1987.0,1.0,0.0,0.0,use an old way of timestamping that doesn't account for timestamp,Deprecated,,Timezone Conversions,Timestamp/Hash Construction,,1.0,2.0,1.0,1.0,Add to test_deprecated APIs the timetuple function,Outdated/Deprecated APIs,,
holoviz,holoviews,Local timezone can break regrid operation,2650.0,0.6513918464,2342.0,1.0,0.0,0.0,,Timezone,Timestamps,Datetime Construction,Timestamp/Hash Construction,,1.0,2.0,1.0,1.0,,Using Naïve Datetime Incorrectly,,
unionai-oss,pandera,Pandas deprecated `(timezone naive timestamp).astype(timezone aware dtype)`,3095.0,0.6501153865,1304.0,1.0,0.0,0.0,,Deprecated,,Timezone Conversions,,,1.0,1.0,4.0,3.0,,Outdated/Deprecated APIs,,
